date,time,tradingsymbol,open,high,low,close,volume
2024-02-27,00:00:00,UNITDSPR,1145.95,1156.95,1139.8,1153.3,1174737
2024-02-28,00:00:00,UNITDSPR,1151.15,1166.0,1133.0,1137.65,1197154
2024-02-29,00:00:00,UNITDSPR,1136.0,1173.0,1131.3,1165.85,992054
2024-03-01,00:00:00,UNITDSPR,1174.45,1182.15,1163.55,1167.25,656223
2024-03-02,00:00:00,UNITDSPR,1180.6,1180.6,1156.0,1167.0,26597
2024-03-04,00:00:00,UNITDSPR,1168.0,1171.5,1151.65,1165.8,409989
2024-03-05,00:00:00,UNITDSPR,1165.8,1176.0,1150.85,1153.6,1098233
2024-03-06,00:00:00,UNITDSPR,1145.6,1157.55,1123.05,1153.3,974502
2024-03-07,00:00:00,UNITDSPR,1150.0,1161.2,1143.3,1146.5,583929
2024-03-11,00:00:00,UNITDSPR,1146.05,1163.65,1144.15,1147.9,593445
2024-03-12,00:00:00,UNITDSPR,1141.15,1146.95,1126.95,1132.85,375718
2024-03-13,00:00:00,UNITDSPR,1132.95,1150.25,1101.4,1109.3,719249
2024-03-14,00:00:00,UNITDSPR,1109.25,1132.1,1096.1,1127.3,541801
2024-03-15,00:00:00,UNITDSPR,1130.0,1162.0,1108.45,1117.4,720942
2024-03-18,00:00:00,UNITDSPR,1117.4,1117.4,1099.35,1108.3,560066
2024-03-19,00:00:00,UNITDSPR,1104.25,1108.3,1081.5,1087.45,582067
2024-03-20,00:00:00,UNITDSPR,1091.95,1103.25,1083.3,1101.6,549490
2024-03-21,00:00:00,UNITDSPR,1105.6,1112.85,1097.35,1109.9,755512
2024-03-22,00:00:00,UNITDSPR,1107.9,1144.45,1106.0,1134.5,916955
2024-03-26,00:00:00,UNITDSPR,1134.5,1137.25,1122.8,1126.05,536595
2024-03-27,00:00:00,UNITDSPR,1122.65,1142.5,1120.95,1139.45,387737
2024-03-28,00:00:00,UNITDSPR,1143.85,1147.7,1121.05,1134.25,709064
2024-04-01,00:00:00,UNITDSPR,1132.55,1169.95,1122.0,1158.3,599438
2024-04-02,00:00:00,UNITDSPR,1169.0,1169.0,1148.75,1152.9,438478
2024-04-03,00:00:00,UNITDSPR,1149.0,1153.7,1127.15,1130.3,468953
2024-04-04,00:00:00,UNITDSPR,1133.0,1140.0,1111.15,1120.2,628302
2024-04-05,00:00:00,UNITDSPR,1120.05,1132.0,1114.0,1128.3,549428
2024-04-08,00:00:00,UNITDSPR,1135.7,1148.0,1119.45,1140.75,795445
2024-04-09,00:00:00,UNITDSPR,1136.1,1148.4,1121.45,1128.35,693210
2024-04-10,00:00:00,UNITDSPR,1130.0,1204.5,1129.55,1200.1,4341449
2024-04-12,00:00:00,UNITDSPR,1198.75,1207.0,1179.45,1182.95,1248275
2024-04-15,00:00:00,UNITDSPR,1170.1,1174.95,1145.6,1148.95,1057333
2024-04-16,00:00:00,UNITDSPR,1148.95,1163.3,1138.8,1150.85,692591
2024-04-18,00:00:00,UNITDSPR,1150.85,1165.75,1144.15,1148.9,1027109
2024-04-19,00:00:00,UNITDSPR,1140.0,1145.75,1118.3,1123.1,1068784
2024-04-22,00:00:00,UNITDSPR,1124.9,1163.0,1120.0,1159.8,3530061
2024-04-23,00:00:00,UNITDSPR,1164.0,1175.0,1146.95,1170.05,1001198
2024-04-24,00:00:00,UNITDSPR,1167.1,1195.6,1166.0,1182.9,682498
2024-04-25,00:00:00,UNITDSPR,1180.9,1199.85,1176.0,1194.85,832424
2024-04-26,00:00:00,UNITDSPR,1189.0,1219.0,1188.0,1198.95,766218
2024-04-29,00:00:00,UNITDSPR,1198.95,1202.1,1170.0,1180.5,645110
2024-04-30,00:00:00,UNITDSPR,1192.2,1202.05,1171.15,1177.0,1002463
2024-05-02,00:00:00,UNITDSPR,1177.0,1203.6,1175.25,1194.9,1270379
2024-05-03,00:00:00,UNITDSPR,1200.0,1212.6,1181.0,1208.3,905136
2024-05-06,00:00:00,UNITDSPR,1218.0,1242.2,1199.55,1231.7,1950840
2024-05-07,00:00:00,UNITDSPR,1234.95,1240.45,1196.4,1202.45,724981
2024-05-08,00:00:00,UNITDSPR,1204.9,1245.8,1195.5,1237.8,1877013
2024-05-09,00:00:00,UNITDSPR,1237.8,1239.7,1190.1,1194.75,546733
2024-05-10,00:00:00,UNITDSPR,1195.55,1220.0,1191.55,1202.4,1203642
2024-05-13,00:00:00,UNITDSPR,1205.0,1211.45,1177.0,1189.75,447010
2024-05-14,00:00:00,UNITDSPR,1187.1,1196.15,1173.6,1175.6,524864
2024-05-15,00:00:00,UNITDSPR,1179.75,1185.2,1165.3,1174.25,573450
2024-05-16,00:00:00,UNITDSPR,1180.1,1185.0,1163.25,1177.1,819159
2024-05-17,00:00:00,UNITDSPR,1180.9,1191.45,1168.25,1182.55,592430
2024-05-18,00:00:00,UNITDSPR,1190.0,1191.85,1177.1,1181.05,42975
2024-05-21,00:00:00,UNITDSPR,1180.0,1186.9,1164.15,1171.0,977167
2024-05-22,00:00:00,UNITDSPR,1167.0,1189.9,1163.35,1187.25,941607
2024-05-23,00:00:00,UNITDSPR,1193.05,1193.1,1167.1,1174.15,1087942
2024-05-24,00:00:00,UNITDSPR,1178.0,1191.85,1168.1,1178.35,908722
2024-05-27,00:00:00,UNITDSPR,1192.0,1214.45,1149.0,1157.7,1470425
2024-05-28,00:00:00,UNITDSPR,1164.05,1195.5,1162.05,1190.15,4342918
2024-05-29,00:00:00,UNITDSPR,1190.15,1191.85,1169.6,1180.15,1137792
2024-05-30,00:00:00,UNITDSPR,1180.15,1180.85,1163.85,1171.35,787238
2024-05-31,00:00:00,UNITDSPR,1173.0,1179.95,1153.3,1159.4,2180048
2024-06-03,00:00:00,UNITDSPR,1174.0,1185.5,1166.4,1181.1,1322571
2024-06-04,00:00:00,UNITDSPR,1179.05,1234.95,1136.3,1204.0,2908958
2024-06-05,00:00:00,UNITDSPR,1227.95,1308.3,1212.3,1298.5,2680777
2024-06-06,00:00:00,UNITDSPR,1298.5,1313.9,1268.55,1305.45,1533822
2024-06-07,00:00:00,UNITDSPR,1306.45,1320.0,1294.65,1307.55,1151764
2024-06-10,00:00:00,UNITDSPR,1327.0,1327.0,1307.15,1315.1,654963
2024-06-11,00:00:00,UNITDSPR,1316.1,1334.85,1312.0,1317.7,625503
2024-06-12,00:00:00,UNITDSPR,1318.7,1318.7,1284.35,1290.85,1374418
2024-06-13,00:00:00,UNITDSPR,1292.0,1300.0,1272.4,1275.45,1049119
2024-06-14,00:00:00,UNITDSPR,1282.55,1282.55,1258.2,1269.0,1574896
2024-06-18,00:00:00,UNITDSPR,1265.0,1274.85,1237.0,1252.6,3609667
2024-06-19,00:00:00,UNITDSPR,1255.0,1281.25,1245.75,1272.85,1292892
2024-06-20,00:00:00,UNITDSPR,1272.95,1278.75,1259.0,1265.55,388681
2024-06-21,00:00:00,UNITDSPR,1275.0,1275.95,1255.0,1260.65,580871
2024-06-24,00:00:00,UNITDSPR,1255.0,1301.85,1245.75,1298.35,1700427
2024-06-25,00:00:00,UNITDSPR,1309.75,1309.75,1275.55,1281.9,612621
2024-06-26,00:00:00,UNITDSPR,1279.7,1291.2,1270.0,1276.8,370291
2024-06-27,00:00:00,UNITDSPR,1265.05,1294.85,1263.85,1287.8,619542
2024-06-28,00:00:00,UNITDSPR,1287.0,1298.0,1272.75,1276.5,632972
2024-07-01,00:00:00,UNITDSPR,1261.1,1276.65,1255.25,1267.8,533705
2024-07-02,00:00:00,UNITDSPR,1274.0,1292.0,1263.95,1274.95,749206
2024-07-03,00:00:00,UNITDSPR,1280.0,1286.15,1268.1,1271.5,420654
2024-07-04,00:00:00,UNITDSPR,1265.25,1281.95,1257.0,1259.4,375289
2024-07-05,00:00:00,UNITDSPR,1259.4,1267.75,1249.3,1254.15,779976
2024-07-08,00:00:00,UNITDSPR,1257.0,1279.0,1257.0,1272.1,2122654
2024-07-09,00:00:00,UNITDSPR,1279.0,1306.85,1276.1,1288.25,2432990
